Respondent ID,Start Date,End Date,Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),Where is your company or organization on its open source journey? (Check all that apply),How many people work for your company or organization?,How often does your company do the following activities?,How often does your company do the following activities?,How often does your company do the following activities?,How often does your company do the following activities?,How often does your company do the following activities?,How often does your company do the following activities?,How often does your company do the following activities?,What percentage of your products include open source components?,Does your company have a formal policy governing use and contribution to open source projects in the following areas?,Does your company have a formal policy governing use and contribution to open source projects in the following areas?,Does your company have a formal policy governing use and contribution to open source projects in the following areas?,Does your company have a formal policy governing use and contribution to open source projects in the following areas?,Does your company have a formal policy governing use and contribution to open source projects in the following areas?,Does your company have an open source program (either formal or informal) or management initiative?,What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),What are the primary responsibilities of the open source program? (Check all that apply),"Is the program or initiative formally structured with dedicated person-hours, reporting structure and/or job titles?",How many employees are part of your open source program?,"Where is the open source program or initiative located within the organization? If the effort is informal, answer based on who the primary organizers report to.","Where is the open source program or initiative located within the organization? If the effort is informal, answer based on who the primary organizers report to.",What is your role in the open source program?,What is your role in the open source program?,"In light of recent macroeconomic conditions, what is the likelihood that funding for your company's open source initiatives will increase or decrease in the upcoming fiscal year?",How long ago was the program established?,What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the areas where your company has most benefited from the open source program? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the ways your open source program quantifies success? (Check all that apply),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),What are the top three challenges your open source program faces? (Choose three),"On a scale of 1-5, how business-critical is your open source program to the success of your engineering or product teams? (1= extremely critical, 5 = not at all critical)",Has the open source program had a positive impact on your company's software practices?,Has the open source program had a positive impact on your company's software practices?,When does your company plan to start a program?,"Will the program or initiative be formally structured with dedicated person-hours, reporting structure and/or job titles?","Where will the open source program or initiative be located within the organization? If the effort is informal, answer based on who the primary organizers will report to.","Where will the open source program or initiative be located within the organization? If the effort is informal, answer based on who the primary organizers will report to.",What will be your role in the open source program?,What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What does your company aim to accomplish by starting an open source program? (Check all that apply),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What are the top three ways your open source program will quantify success? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),What have been the top three biggest challenges in establishing an open source program? (Choose three),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Why doesn’t your company have an open source program? (Check all that apply),Would your company benefit from an open source program?,How would you approach creating an open source program within your organization?,What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),What are the top three ways your company would benefit from an open source program? (Choose three),Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,Why not?,"If yes, please provide one or two specific examples.","If yes, please provide one or two specific examples.","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","The following list represents a range of large companies that participate in open source communities. To what degree do you perceive each of them to be “good open source community citizens” in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem?","To what degree does a company’s participation in, and contributions to, the open source community influence your organization’s buying decisions?","Does your organization have a program to reward and recognize open source contributors, inside or outside your organization?","In response to the COVID-19 pandemic, what is the likelihood that your organization will reallocate funds from events to recruiting and training activities produced by an open source project, association or foundation?","Is your company a member or sponsor of an open source foundation(s)? (e.g., Linux Foundation, Apache Software Foundation, Eclipse Foundation, OpenJS Foundation)",How valuable is the support and return on your investment you have received from these open source foundations?,How many open source projects does your company maintain?,How often does your average application development team release code into production?,How many developers (full time or part time) in your organization contribute to open source projects you depend on?,Does your company require a Contributor License Agreement (CLA) for external contributions to your open source projects?,What is the preferred license for your company's open source projects?,What is the preferred license for your company's open source projects?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Which of the following open source compliance tools and methodologies does your organization utilize?,Does the information security function within your organization access data from automated tools that are also used for open source compliance?,What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),What kinds of tools does your company use to manage open source code repositories? (Check all that apply),"Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?","Of the following options, what are the top three benefits your company receives by using open source software?",Which category most closely defines your role?
Respondent ID,Start Date,End Date,Consuming open source code in products or services,Contributing to upstream open source projects,Influencing open source projects via leadership or maintainer roles,Initiating or releasing open source projects,Collaborating with peers across open source projects and/or foundations,Not involved in open source,Don’t know,Response,Contribute code upstream,Use open source code for noncommercial or internal reasons,Use open source code in commercial products,Recruit and hire developers to work on open source projects,Train developers to contribute to open source projects,Create its own open source projects,Attend and speak at open source events or conferences,Response,Use of open source code in products (dependencies),Allowing employees to contribute to non-work-related open source projects in their personal time,Releasing open source code or projects,Contributing upstream to open source projects,"Sponsoring open source projects, events or foundations",Response,Owning and overseeing the execution of open source strategy,Clearly communicating the open source strategy within and outside the company,Facilitating the effective use of open source in commercial products and services,Ensuring high-quality and frequent releases of code to open source communities,Engaging with developer communities so the company contributes back to other projects effectively,Fostering an open source culture within an organization,Maintaining open source license compliance reviews and oversight,Launching new open source projects,"Selecting and/or setting up infrastructure and tooling for open source use, contribution and creation","Developing and delivering open source training, resources and documentation",Other (please explain),Other (please explain),Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response,Increased developer recruitment and retention,Increased speed and agility in the development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change, with improved interaction among departments",Better security testing and vulnerability management,Other (please specify),Other (please specify),Fewer license violations,Faster compliance process,Volume of upstream code contributions,Number of open source projects initiated,Number of contributors,Market adoption or use of projects,"Developer velocity, efficiency, and/or productivity",Developer hiring and onboarding,Reach in open source communities,Open source culture within the company,Time to market with new products,Project code quality,Cost savings,Other (please specify),Other (please specify),Finding and recruiting open source developers,Ability to influence open source projects,Executive awareness and support,"Insufficient budget, program costs",Internal awareness of the program,External awareness (marketing and communications),License compliance overhead,Getting teams on board with compliance and security approaches,Vulnerability monitoring and remediation,Tracking metrics and performance,Tool selection and adoption,Response,Response,Other (please specify),Response,Response,Response,Other (please specify),Response,Increased developer recruitment and retention,Increased speed and agility in development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change toward faster digital transformation, openness and agility",Better security testing and vulnerability management,Other (please specify),Other (please specify),Fewer license violations,Faster compliance process,Volume of upstream code contributions,Number of open source projects initiated,Number of contributors,Market adoption or use of projects,"Developer velocity, efficiency, and/or productivity",Developer hiring and onboarding,Reach in open source communities,Open source culture within the company,Time to market with new products,Other (please specify),Other (please specify),Strategy: planning or knowing how to approach it,Finding an open source program manager,Finding legal staff with open source expertise,Setting an open source policy,Getting executive support and buy-in,Getting engineering support and buy-in,Setting a budget and estimating program costs,Assessing or quantifying existing open source use and contribution,Resources required to perform license compliance,Finding commercial dependencies,Tool selection,Other (please specify),Other (please specify),Other (please specify),"Used to have one, but it ended",Have never heard of an open source program,Haven’t considered it,Don’t use or participate in open source,Organization is too small to need one,Organization’s open source use and participation is too small to need one,Don’t see the business value,Don’t want to regulate or standardize open source practices,Time or resource constraints,Want one but can’t justify it,Other (please specify),Other (please specify),Response,Open-Ended Response,Increased developer recruitment and retention,Increased speed and agility in development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change, with improved interaction among departments",Better security testing and vulnerability management,Other (please specify),Other (please specify),"Used to have one, but it ended",Have never heard of an open source program,Haven’t considered it,Don’t use or participate in open source,Organization is too small to need one,Organization's open source use and participation is too small to need one,Don’t see the business value,Don’t want to regulate or standardize open source practices,I don’t know,Other (please specify),Other (please specify),Example 1,Example 2,AWS,Comcast,Facebook,Google,IBM,Microsoft,Red Hat,SAP,Uber,Verizon,VMware,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Other (please specify),ClearlyDefined,Eclipse Oscano,Flexera,FossID,FOSSA,FOSSology,GitHub,GitLab,JFrog,OpenChain,OSS Review Toolkit,Snyk,Sonatype,SPDX Tools,Synopsys,Tern,Veracode,WhiteHat Security,WhiteSource,Verifa,We utilize a homegrown tool or methodology for open source compliance,We do not utilize a tool or methodology for open source compliance,Other (please specify),Other (please specify),Response,GitHub paid version,GitLab paid version,"Other vendor’s paid version (e.g., Bitbucket)",Free version of a vendor solution,Homegrown solution,Other (please specify),Other (please specify),Developer satisfaction,Development speed,Functionality,Performance and stability,Quality of code,Reliable support and/or consulting services,Security,Technology flexibility and extensibility,Total cost of ownership (licenses and developer time),Other (please specify),Other (please specify),Response
11697755930,06/15/2020 06:45:48 AM,06/15/2020 06:54:30 AM,Consuming open source code in products or services,Contributing to upstream open source projects,,,,,,"1,001-10,000",Sometimes,Frequently,Frequently,Rarely,Sometimes,Sometimes,Rarely,41-60%,Yes,Yes,Yes,Yes,Yes,"No, but planning one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In the next year,Don't know,"Security, compliance and risk management",,Program manager,Increased developer recruitment and retention,Increased speed and agility in development cycle,Better license compliance,Lower licensing fees,Lower support costs,,,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change toward faster digital transformation, openness and agility",Better security testing and vulnerability management,,,,Faster compliance process,,,,,"Developer velocity, efficiency, and/or productivity",,,,Time to market with new products,,,,,,,Getting executive support and buy-in,,Setting a budget and estimating program costs,,,,Tool selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Above Average,Don't know,Above Average,Excellent,Above Average,Above Average,Excellent,Excellent,Above Average,Don't know,Excellent,Moderately influential,No,Don't know,No,,1-10,Monthly,6-10,No,No preference,,ClearlyDefined,,,,,FOSSology,,,,,,,,SPDX Tools,,,,,,,,,,,Yes,,,"Other vendor’s paid version (e.g., Bitbucket)",Free version of a vendor solution,Homegrown solution,,,,,,Performance and stability,Quality of code,,,,Total cost of ownership (licenses and developer time),,,Other IT
11697628462,06/15/2020 05:42:24 AM,06/15/2020 05:48:06 AM,,,,,,,Don’t know,,,,,,,,,1-20%,,,,,,"No, but planning one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open source culture within the company,,,,,,Finding legal staff with open source expertise,,Getting executive support and buy-in,,,,,Finding commercial dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Don't know,No preference,,,,,,,,,,,,,,,,,,,,,,,We do not utilize a tool or methodology for open source compliance,,,,,,,,,,,,,,,,,Security,,,,,
11697296001,06/15/2020 02:24:31 AM,06/15/2020 02:32:52 AM,Consuming open source code in products or services,Contributing to upstream open source projects,,Initiating or releasing open source projects,,,,"More than 10,000",Sometimes,Frequently,Frequently,Don't know,Rarely,Rarely,Rarely,81-100%,Yes,Yes,Yes,Yes,No,Yes,Owning and overseeing the execution of open source strategy,,,,,,Maintaining open source license compliance reviews and oversight,,,"Developing and delivering open source training, resources and documentation",,,Yes,10+,Software engineering and development,,Legal compliance,,Don't know,6-10 years,,,Better license compliance,,Lower support costs,,,,,,,,,,,,Fewer license violations,Faster compliance process,,,,,,,,,,,,,,,,Executive awareness and support,,,,License compliance overhead,,,,,3 – Somewhat critical,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Below Average,Average,Average,Excellent,Excellent,Above Average,Excellent,Below Average,Very Poor,Below Average,Average,Moderately influential,No,Don't know,Yes,High value,11-50,Daily,More than 100,Yes,Apache 2.0,,,,,,,,GitHub,GitLab,,,,,,SPDX Tools,,,,,,,We utilize a homegrown tool or methodology for open source compliance,,,,No,GitHub paid version,,"Other vendor’s paid version (e.g., Bitbucket)",,,Other (please specify),Gerrit,Developer satisfaction,,,Performance and stability,,,,,Total cost of ownership (licenses and developer time),,,Developer or software engineer
11696528278,06/14/2020 04:31:52 PM,06/14/2020 04:41:53 PM,Consuming open source code in products or services,,,,Collaborating with peers across open source projects and/or foundations,,,2-50,Rarely,Frequently,Never,Never,Never,Never,Sometimes,1-20%,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organization’s open source use and participation is too small to need one,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Organization's open source use and participation is too small to need one,,,,,,,,Very Poor,Don't know,Don't know,Above Average,Above Average,Below Average,Excellent,Very Poor,Don't know,Don't know,Don't know,Very influential,No,Neutral,No,,0,Don’t know,1-5,No,No preference,,,,,,,,,,,,,,,,,,,,,,,We do not utilize a tool or methodology for open source compliance,,,No,,,,,Homegrown solution,,,,,Functionality,Performance and stability,,,,,Total cost of ownership (licenses and developer time),,,Other IT
11696154805,06/14/2020 11:16:11 AM,06/14/2020 11:28:52 AM,Consuming open source code in products or services,,,,,,,"1,001-10,000",Don't know,Frequently,Sometimes,Sometimes,Rarely,Rarely,Rarely,21-40%,Yes,Yes,No,Don't know,Don't know,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organization’s open source use and participation is too small to need one,,,,,,,Yes,,,Increased speed and agility in development cycle,,,,,,,,,,Increased innovation,"Culture change, with improved interaction among departments",,,,,,,,,,,,,,,,,Above Average,Don't know,Above Average,Excellent,Above Average,Above Average,Excellent,Average,Average,Above Average,Average,Not at all influential,No,Neutral,No,,Don't know,Don’t know,Don't know,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,We do not utilize a tool or methodology for open source compliance,,,Don't know,,,"Other vendor’s paid version (e.g., Bitbucket)",,,,,Developer satisfaction,Development speed,,,,,,Technology flexibility and extensibility,,,,Other IT
11696238622,06/14/2020 10:56:29 AM,06/14/2020 12:22:23 PM,Consuming open source code in products or services,,,,,,,2-50,Rarely,Frequently,Frequently,Never,Sometimes,Rarely,Sometimes,1-20%,No,No,No,No,No,"No, but planning one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11696045206,06/14/2020 10:00:51 AM,06/14/2020 10:04:23 AM,,Contributing to upstream open source projects,,,,,,Self-employed or not working,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1-20%,Yes,Yes,Yes,Yes,Yes,Yes,,Clearly communicating the open source strategy within and outside the company,,,,,,,,,,,Yes,1,Legal,,Executive leadership or oversight (program manager reports to me),,Very likely to increase,0-2 years,,,Better license compliance,,Lower support costs,,,,,,,,,,,,Fewer license violations,,,,,,,,,,,,,,,,Ability to influence open source projects,,,,,,,,,,2 – Very critical,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Extremely influential,Yes,Very likely,Yes,Low value,1-10,Hourly,1-5,Yes,MIT,,ClearlyDefined,,,,,,,,,,,,,,,,,,,,,,,,Yes,GitHub paid version,,,,,,,Developer satisfaction,,,,,,,,,,,Developer or software engineer
11695680794,06/14/2020 04:29:08 AM,06/14/2020 04:34:45 AM,Consuming open source code in products or services,,,Initiating or releasing open source projects,Collaborating with peers across open source projects and/or foundations,,,51-250,Sometimes,Frequently,Never,Sometimes,Frequently,Sometimes,Frequently,81-100%,Don't know,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haven’t considered it,,,,,,,,,,Yes,,,,,Lower licensing fees,,,,,,,,Increased innovation,,Better security testing and vulnerability management,,,,,,,,,,,,,,,,Very Poor,Don't know,Below Average,Average,Above Average,Don't know,Excellent,Very Poor,Don't know,Don't know,Average,Very influential,Don't know,Don't know,No,,1-10,Monthly,1-5,No,GPLv3,,,,,,,,GitHub,,,,,,,,,,,,,,,,,,Don't know,,,,Free version of a vendor solution,,,,,,,Performance and stability,,,Security,,Total cost of ownership (licenses and developer time),,,Other IT
11695590659,06/14/2020 02:36:54 AM,06/14/2020 02:44:03 AM,Consuming open source code in products or services,,,,,,,2-50,Rarely,Frequently,Frequently,Frequently,Sometimes,Rarely,Frequently,81-100%,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have never heard of an open source program,,,,,,,,,,,Yes,DK,,Increased speed and agility in development cycle,,,,,,,,,Faster time to market with new products,Increased innovation,,,,,,,,,,,,,,,,,,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Above Average,Very influential,No,Don't know,No,,0,Weekly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
