,,,,,, ,,Language,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q9,Q10,Q10_other,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q13_other,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q19,Q20,Q21,Q22,Q23,Q24,Q24_other,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q28,Q29,Q30_0,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q30_15,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q37,Q38_1,Q38_2,Q38_3,Q39,Q40_0,Q40_1,Q40_2,Q40_3,Q40_4,Q41,Q43,Q44,Q45,Q46,Q47,Q48,Q48_other,Q49_0,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q50_0,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Q52_7,Q52_8,Q52_9,Q52_10,Q52_11,Q52_12,Q52_13,Q52_14,Q52_15,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q53_8,Q53_9,Q53_10,Q53_11,Q53_12,Q53_13,Q53_14,Q53_15,Q54,Q55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence #,Minutes,Respondent ID,Collector ID,Start Date,End Date,Multiple Entries for Organization,Filter Criteria for Multiple Entries for Organization,language,Where is your organization on its open source journey? (select all that apply),,,,,,,"How many people work for your organization? If you are employed by a software integrator or consulting firm, or self employed, answer on behalf of the most current client you are primarily working for. (select one)","Professionally, which role or field do you most closely identify with? (select one)",How often does your organization do the following activities? (select one per row),,,,,,,Does your organization have a formal policy governing use and contribution to open source projects in the following areas? (select one per row),,,,,,Does your organization have an open source program or open source initiative? (select one),Which of the following best describes your organization's formal policy on contributing to upstream open source projects? (select one),What are the primary responsibilities of the open source program or initiative? (select all that apply),,,,,,,,,,,,,How many employees are part of your open source program or initiative? (select one),"Where is the open source program or initiative located within the organization? If the effort is informal, answer based on who the primary organizers report to. (select one)",,Does your open source program have an InnerSource team or strategy to drive open source culture within the organization? (select one),What percentage of your open source program’s time is spent collaborating with the following departments? (total can equal more than 100%) (select one per row),,,,,,What is your role in the open source program or initiative? (select one),,"In light of recent macroeconomic conditions, what is the likelihood that funding for your organization's open source initiatives will increase or decrease in the upcoming fiscal year? (select one)",How long ago was the program or initiative established? (select one),What are the areas where your organization has most benefited from the open source program or initiative? (select all that apply),,,,,,,,,,,,,,,What are the ways your open source program or initiative quantifies success? (select all that apply),,,,,,,,,,,,,,,What are the top three challenges your open source program or initiative faces? (select three),,,,,,,,,,,"On a scale of 1-5, how business-critical is your open source program or initiative to the success of your engineering or product teams? (1 = extremely critical, 5 = not at all critical) (select one)",Has the open source program or initiative had a positive impact on your organization's software practices? (select one),Please provide one or two specific examples of the positive impact the program or initiative has had on on your organization's software practices.,When does your organization plan to start a program or initiative? (select one),"Will the program or initiative be formally structured with dedicated person-hours, reporting structure and/or job titles? (select one)","Where will the open source program or initiative be located within the organization? If the effort is informal, answer based on who the primary organizers will report to. (select one)",,What does your organization aim to accomplish by starting an open source program? (select all that apply),,,,,,,,,,,,,,,What have been the top three biggest challenges in establishing an open source program or initiative? (select three),,,,,,,,,,,,Why doesn't your organization have an open source program? (select all that apply),,,,,,,,,,,Would your organization benefit from an open source program or initiative? (select one),How would you approach creating an open source program within your organization?,What are the top three ways your organization would benefit from an open source program or initiative? (select three),,,,,,,,,,,,,,,,Why would your organization not benefit? (select all that apply),,,,,,,,,,"To what degree do you perceive the following companies to be""good open source community citizens"" in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem? (select one per row)",,,,,,,,,,,"To what degree do you perceive the following companies to be""good open source community citizens"" in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem? (select one per row)",,,,"To what degree do you perceive the following companies to be""good open source community citizens"" in terms of contributions, collaboration and leadership on open source projects and initiatives within the open source ecosystem? (select one per row)",,,,,"To what degree does a company’s participation in, and contributions to, the open source community influence your organization’s buying decisions? (select one)","In the last five years, has anyone in your organization included participation in open source ecosystems as criteria for the following? (select one per row)",,,"If your organization has previously assessed vendor, supplier or partner participation in open source ecosystems, how would you change the process and metrics in the future? What would you tell your peers seeking to conduct similar evaluations?","In regards to content and quality, does your organization collect, verify, grade, and public share its findings from open source disclosure documents supplied by third-party vendors? (select all that apply)",,,,,"Is your company a member or sponsor of an open source foundation(s)? (e.g., Linux Foundation, Apache Software Foundation, Eclipse Foundation, OpenJS Foundation) (select one)",How many open source projects does your company maintain? (select one),How many developers (full time or part time) in your organization contribute to open source projects you depend on? (select one),How often does your average application development team release code into production? (select one),What percentage of your organization's products include open source components? (select one),Does your organization require a Contributor License Agreement (CLA) and/or a Developer Certificate of Origin (DCO) for external contributions to your open source projects? (select one),What is the preferred license for your company's open source projects? (select one),,How does your organization check for open source license compliance? (select all that apply),,,,,,How does your organization scan for vulnerabilities and open source security compliance? (select all that apply),,,,,,How many tools do you or your team use to automate and enforce open source license compliance? (select one),"For each of the following, please indicate if your organization uses the free and/or paid versions of the vendor offerings to manage open source repositories. (multiple responses per row are allowed)",,,,,,,,,,,,,,,Which technology area does your organization focus its open source activities on? (select all that apply),,,,,,,,,,,,,,,Which of the following best describes the industry your organization is in? (select one),In which region does your organization have its headquarters? (select one),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Response,Response,,Don't know or not applicable,Consuming open source code in products or services,Contributing to upstream open source projects,Influencing open source projects via leadership or maintainer roles,Initiating or releasing open source projects,Collaborating with peers across open source projects and/or foundations,Not involved in open source,Response,Response,Contribute code upstream,Use open source code for noncommercial or internal reasons,Use open source code in commercial products,Recruit and hire developers to work on open source projects,Train developers to contribute to open source projects,Create its own open source projects,Attend and speak at open source events or conferences,Use of open source code in products (dependencies),Allowing employees to contribute to non-work-related open source projects in their personal time,Releasing open source code or projects,Contributing upstream to open source projects,"Sponsoring open source projects, events or foundations",Contributing to third-party and other projects not considered to be upstream,Response,Response,Advise on open source tech and projects,Collaborate with open source organizations,Develop and execute open source strategy,Eliminate friction from using and contributing to open source,Establish and improve open source policies and processes,Grow and retain open source talent inside the organization,Implement InnerSource practices and foster open source culture,Manage open source IT infrastructure,Oversee open source compliance,Prioritize and drive open source upstream development,Support the organization's development activities,Track performance metrics,Other (please explain),Response,Response,Other (please specify),Response,Engineering,IT,Legal,Security,Upstream open source projects,Other (please specify),Response,Other (please specify),Response,Response,Increased developer recruitment and retention,Increased speed and agility in the development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change, with improved interaction among departments",Better security testing and vulnerability management,Other (please specify),Fewer license violations,Faster compliance process,Volume of upstream code contributions,Number of open source projects initiated,Number of contributors,Market adoption or use of projects,"Developer velocity, efficiency, and/or productivity",Developer hiring and onboarding,Reach in open source communities,Frequency of dependency updates,Mean time to detect vulnerabilities,Time to market with new products,Project code quality,Cost savings,Other (please specify),Finding and recruiting open source developers,Ability to influence open source projects,Executive awareness and support,"Insufficient budget, program costs",Internal awareness of the program,External awareness (marketing and communications),License compliance overhead,Getting teams on board with compliance and security approaches,Vulnerability monitoring and remediation,Tracking metrics and performance,Tool selection and adoption,Response,Response,Open-Ended Response,Response,Response,Response,Other (please specify),Increased developer recruitment and retention,Increased speed and agility in development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change, with improved interaction among departments",Better security testing and vulnerability management,Other (please specify),Strategy: planning or knowing how to approach it,Finding an open source program manager,Finding legal staff with open source expertise,Setting an open source policy,Getting executive support and buy-in,Getting engineering support and buy-in,Setting a budget and estimating program costs,Assessing or quantifying existing open source use and contribution,Resources required to perform license compliance,Finding commercial dependencies,Tool selection,Other (please specify),"Used to have one, but it ended",Have never heard of an open source program,Haven’t considered it,Don’t use or participate in open source,Organization is too small to need one,Organization’s open source use and participation is too small to need one,Don’t see the business value,Don’t want to regulate or standardize open source practices,Time or resource constraints,Want one but can’t justify it,Other (please specify),Response,Open-Ended Response,I don't know,Increased developer recruitment and retention,Increased speed and agility in development cycle,Better license compliance,Lower licensing fees,Lower support costs,More influence in open source communities,Increased contributions to in-house open source projects from external or third-party contributors,More awareness of open source use and commercial dependencies,Increased market adoption of open source projects,Increased participation in external open source projects,Faster time to market with new products,Increased innovation,"Culture change, with improved interaction among departments",Better security testing and vulnerability management,Other (please specify),I don’t know,"Used to have one, but it ended",Have never heard of an open source program,Haven’t considered it,Don’t use or participate in open source,Organization is too small to need one,Organization's open source use and participation is too small to need one,Don’t see the business value,Don’t want to regulate or standardize open source practices,Other (please specify),Google,Huawei,IBM,Microsoft,Oracle,Red Hat,SAP,VMware,AWS,Alibaba,Cisco,AMD,ARM,Intel,NVIDIA,Facebook,Netflix,Spotify,Tencent,Twitter,Response,Review or audit of software and IT vendor contracts,"Decision to select a new vendor, supplier or partner",Decision to discontinue a relationship with an existing vendor supplier or partner,Open-Ended Response,Don't know,Collect,Verify,Grade,Publicly share findings,Response,Response,Response,Response,Response,Response,Response,Other (please specify),Don't know or not applicable,Organizational processes,Departmental-level processes,Automation of processes,Case-by-case basis,No processes or approaches,Don't know or not applicable,Organizational processes,Departmental-level processes,Automation of processes,Case-by-case basis,No processes or approaches,Response,GitHub - Free,GitHub - Paid,GitHub - Don't know,GitLab - Free,GitLab - Paid,GitLab - Don't know,BitBucket - Free,BitBucket - Paid,BitBucket - Don't know,Gitee - Free,Gitee - Paid,Gitee - Don't know,Other vendor - Free,Other vendor - Paid,Other vendor - Don't know,"AI, ML, Data & Analytics",Blockchain,CI/CD & Site Reliability,Cloud,Containers & Virtualization,DevOps,IoT & Embedded,Networking & Edge,Open Hardware,Safety-Critical Systems,Security,Storage,System Administration,Web & Application Development,Other (please specify),Response,Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04:14,118091742966,446360289,2022-08-01 08:16:03,2022-08-01 08:20:17,,0,en,,1,,,,,,7,2,3,3,3,3,3,3,3,1,2,3,1,1,1,2,1,,,,,5,6,,8,,10,11,,,3,3,,2,3,3,2,4,3,,6,,2,3,,,,,,,7,8,,,,,13,,,1,,,,,6,,,,,,,,,,,,3,,,,,,,,11,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,3,3,3,2,2,3,2,2,1,1,1,1,3,3,3,4,3,3,1,1,1,,,,2,,,1,6,6,7,5,5,5,,,,,3,4,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,04:42,118091652759,446783486,2022-08-01 05:36:55,2022-08-01 05:41:37,,0,en,,1,2,,,,,4,4,3,4,4,2,2,2,2,1,1,1,1,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11:16,118091549782,446360289,2022-08-01 02:23:17,2022-08-01 02:34:33,,0,en,,1,2,3,4,5,,3,5,4,4,4,4,4,3,4,3,2,2,2,1,3,1,,1,2,3,,,6,,,,10,11,,,5,2,,3,3,3,1,6,6,,6,,2,2,1,,,,,,7,8,,,11,,13,,,,,3,,,,,,9,,,,,,,,,,,,6,,,,10,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,4,1,3,3,3,4,3,3,2,3,3,5,4,4,4,3,4,3,3,3,,,1,,,,1,2,4,2,5,5,4,,,,,,4,,,,,3,,,0,,,,,,,,,,,,,,,,1,,,4,,,,,,,,12,,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,03:26,118091043093,446321977,2022-07-31 03:57:58,2022-07-31 04:01:24,,0,en,,1,2,3,4,5,,3,6,3,5,3,2,3,3,5,3,3,3,3,3,3,2,,,,,,,,,,,,11,,,1,2,,2,2,2,2,2,2,,1,,6,5,,,3,,,,,,,,11,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,1,2,2,,,,,,4,2,2,1,5,2,2,4,,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,10,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12:30,118090055116,446321977,2022-07-29 10:12:36,2022-07-29 10:25:06,,0,en,,1,,,,,,6,2,1,4,3,3,1,2,1,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,7,8,9,,,1,Long discussion in order to put forward the financial advantage (only way),,,,,4,5,,,8,,,,,,,,,,,,,,,,,,5,5,5,5,3,3,5,4,5,5,5,6,6,6,6,6,6,6,6,6,2,2,2,2,,0,,,,,2,8,6,2,2,4,9,,,,,,,5,,,,,4,,0,,,,,,,,,,,,,,,,,,3,4,5,6,,,,,11,,13,14,,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59:49,118088288023,446321998,2022-07-27 16:39:28,2022-07-28 16:39:17,,0,en,,1,2,3,4,,,5,3,4,4,4,4,4,3,4,1,1,1,1,1,1,1,3,1,2,,4,5,,7,8,9,10,11,,,4,4,,1,4,1,2,2,3,,1,,4,1,,,,,,6,,8,9,10,,12,13,,,,,3,4,5,6,,,9,,,,,,,1,,,4,,,,,,10,,3,1,"upstream first, open standards where possible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,4,1,2,3,3,4,3,3,4,2,3,3,2,2,4,3,2,1,1,2,,,1,2,3,,1,4,5,3,5,2,4,,,1,,3,,,,1,,3,,,4,,,,,,,,,,,,,,,,,,3,4,,,,,,,11,,,,Observability,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,31:03,118089068974,446360289,2022-07-28 13:11:57,2022-07-28 15:43:00,,0,en,,1,,3,4,5,,7,1,2,4,4,2,2,3,3,1,1,1,1,1,1,1,2,1,2,3,4,5,,7,,9,,11,,,2,2,,1,6,6,6,6,6,,9,,3,2,1,,,,,6,7,,,10,,12,13,,,,,,,,,,,,,,,,,i don't know,,,3,4,,6,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,3,1,3,3,5,4,4,4,4,4,4,1,1,3,2,2,3,1,1,1,,,1,2,3,,1,4,6,3,5,1,10,,,,,3,4,,0,,,,,,0,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,14,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,08:52,118089134264,446783486,2022-07-28 14:48:21,2022-07-28 14:57:13,,0,en,,1,2,3,4,5,,2,7,3,4,4,2,4,4,4,1,1,1,1,1,1,2,3,,,3,4,,,,,,10,,,,5,0,Hardware development,4,4,1,1,1,1,,1,,3,2,1,2,,4,,6,,,9,,,,13,,,,,3,4,5,,,8,,,,,13,,,1,,3,,,6,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,3,3,3,3,3,3,3,2,4,3,5,3,5,5,5,3,1,1,1,,0,,,,,1,3,3,4,5,4,0,CERN OHL 2.0,,1,2,3,4,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,digital wireless communications,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
