Q#,R#,,DQ,Filter
1,,Where is your organization on its open source journey? (select all that apply),,
,1,Using open source code in products or services,,
,2,Contributing to upstream open source projects,,
,3,Influencing open source projects via leadership or maintainer roles,,
,4,Initiating or releasing open source projects,,
,5,Collaborating with peers across open source projects and/or foundations,,
,6,Not involved in open source,DQ,
,0,Don't know or not applicable,DQ,
,,,,
2,,Please indicate what best describes who you are. (select one),,
,1,I'm just lines of code,DQ,
,2,I am a real person,,
,3,I am a bot,DQ,
,4,I just want to mess with the researchers,DQ,
,0,Don't know or not sure,DQ,
,,,,
4,,"How many people work for your organization? If you are employed by a software integrator or consulting firm, or self employed, answer on behalf of the most current client you are primarily working for. (select one)",,
,1,1 to 10,DQ for Panel,
,2,11 to 49,DQ for Panel,
,3,50 to 249,DQ for Panel,
,4,250 to 999,DQ for Panel,
,5,"1,000 to 9,999",,
,6,"10,000 to 19,999",,
,7,"20,000 or more",,
,8,"I am currently unemployed, a full-time student or retired",DQ,
,0,Don't know or not sure,,
,,,,
7,,Which of the following best describes your organization's primary industry? (select one),,Requires an answer
,1,Agriculture,,
,2,Automotive,,
,3,"Business services (accounting, management consulting, legal, etc.)",,
,4,Consumer packaged goods,,
,5,Construction / engineering,,
,6,"Education (K-12, primary, secondary)",,
,7,"Education (college, university)",,
,8,"Financial services (banking, insurance, securities, etc.)",,
,9,"Government (federal, national)",,
,10,"Government (state, local)",,
,11,Health care,,
,12,Hospitality & travel,,
,13,"Life sciences (biotech, pharmaceuticals, etc.)",,
,14,Manufacturing (discrete or process),,
,15,"Media (broadcast communications, entertainment, publishing, website, social networking, etc.)",,
,16,"Mining, oil, and gas",,
,17,"Real estate, rental, and leasing",,
,18,"Retail, wholesale, & eCommerce",,
,19,Telecommunications / Internet service provider (ISP) / web hosting,,
,20,Transportation & logistics (other than automotive),,
,21,Utilities / energy,,
,22,"Cross-industry information technology (IT vendor, service provider, or manufacturer)",,
,Text,Other (please specify),,
