Survey Name:,,,2024 OSPO Survey,
,,,,
Page or Section,Q#,R#,Questions and Responses,Show/Hide Rules and Logic
1,,,Introduction,
,,,,
1,Text,,"INTRODUCTION:
The TODO Group and Linux Foundation Research are conducting a survey as part of a research project on the prevalence and outcomes of open source programs and similar open source initiatives operating across the globe. We are thankful for the support of Cisco, NGINX, InnerSource Commons, open source Initiative, and CHAOSS as advisors to and distributors of this survey. This survey should take no more than 15 minutes of your time.

GOALS:
By lending your insights and expertise, you'll not only contribute to the advancement of OSPO practices but also unlock invaluable support for your strategic initiatives. Results will provide nuanced guidelines tailored to different industry segments, ensuring that OSPOs receive actionable insights relevant to different organizations' unique challenges and opportunities. Your participation will enable us to gather comprehensive data that will shape the future of OSPO initiatives and pave the way for enhanced collaboration and innovation.

BONUS:
As a thank you for participating in this research, once you have completed the survey, a code will be displayed on the confirmation page that can be used for a 30% discount on any Linux Foundation training course or certification exam listed in our catalog (https://training.linuxfoundation.org/full-catalog/).

ADDED BONUS:
If you qualify for and complete this survey, Linux Foundation Research will also make a donation to the Linux Foundation’s Travel Fund. The Linux Foundation’s Travel Fund enables open source developers and community members to attend events that they would otherwise be unable to attend due to a lack of funding. Your participation in this survey will help others in our community!

VISIBILITY:
We will summarize the survey data and findings in a report to be published on the Linux Foundation website. The dataset for this survey will be posted and made publicly available in the Linux Foundation's section of Data.World.

PRIVACY:
Your name and/or organization name will not be displayed. Responses will be subject to the Linux Foundation’s Privacy Policy, available at https://linuxfoundation.org/privacy. Please note that research partners who are not Linux Foundation employees will review the survey results. Survey partners are not permitted to use your data for other purposes.",
,,,,
2,,,Tell us a little bit about yourself and your organization,
,,,,
2,1,,Where is your organization on its open source journey? (select all that apply),
,,1,Using open source code in products or services,
,,2,Contributing to upstream open source projects,
,,3,Influencing open source projects via leadership or maintainer roles,
,,4,Initiating or releasing open source projects,
,,5,Collaborating with peers across open source projects and / or foundations,
,,6,Not involved in open source,DQ
,,0,Don't know or not applicable,DQ
,,,,
2,2,,Please indicate what best describes who you are. (select one),
,,1,I'm just lines of code,DQ
,,2,I am a real person,
,,3,I am a bot,DQ
,,4,I just want to mess with the researchers,DQ
,,0,Don't know or not sure,DQ
,,,,
2,3,,"Professionally, which of the following best describes your role? (select one)",
,,1,Developer / Software Engineer,
,,2,"Other IT (e.g., Sys Admin, Tech Support)",
,,3,Community Manager / Developer Advocate,
,,4,"IT Management (e.g., ITSM, CIO, CTO)",
,,5,Senior / Executive Management (non-IT),
,,6,Marketing / PR,
,,7,"Security (e.g., CISO)",
,,8,"Law (e.g., audit, compliance, lawyer)",
,,Text,Other (please specify),
,,,,
2,4,,"How many people work for your company? If you are employed by a software integrator or a consulting firm, or are self employed, answer on behalf of the most current client you are primarily working for. (select one)",
,,1,1 to 10,
,,2,11 to 49,
,,3,50 to 249,
,,4,250 to 999,
,,5,"1,000 to 9,999",
,,6,"10,000 to 19,999",
,,7,"20,000 or more",
,,8,"I am currently unemployed, a full-time student or retired",DQ
,,0,Don't know or not sure,
,,,,
2,5,,In which region does your organization have its headquarters? (select one),
,,1,United States or Canada,
,,2,"Central America, the Caribbean, and South America",
